,Prop_ID,Name,Address,DogRuns_Type,Accessible,Notes
22,X104,Williamsbridge Oval Dog Run,3225 Reservoir Oval East,Run,N,
23,B080,Asser Levy Park Off-Leash Area,"Surf Avenue, Sea Breeze Avenue, West 5th Street, Ocean Parkway",Off-Leash,N,
24,B247,Breukelen Park Off-Leash Area,All areas excluding the playground and ballfields,Off-Leash,N,
25,B431,Brooklyn Bridge Park Dog Run,Pier 6,Run,N,
26,B113A,Brooklyn War Memorial Off-Leash Area,"Cadman Plaza Park, Cadman Plaza West & East & Prospect Street ",Off-Leash,N,
27,B018,Canarsie Park Off-Leash Area,"All areas excluding the playground, ballfields, and Natural Areas.",Off-Leash,N,
28,B025,Cooper Park Dog Run,Olive Street and Maspeth Avenue,Run,N,
29,B223B,DiMattina Park Dog Run,Hicks & Woodhull streets,Run,N,
30,B028,Dyker Beach Park Dog Run,7th Avenue and 86th Street,Run,N,
31,B028,Dyker Beach Park Off-Leash Area,"Cropsey Avenue, Bay 8th Street, and Poly Place",Off-Leash,N,
32,B032,Fort Greene Park Off-Leash Area,"All areas excluding the playgrounds, tennis courts, and lawns with posted signs.",Off-Leash,N,
33,B372,Friends Field Park Off-Leash Area,"East 4th Street, Avenue L, and McDonald Avenue",Off-Leash,N,
34,B038,Fulton Park Off-Leash Area,,Off-Leash,N,
35,B401,Grand Ferry Park Off-Leash Area,,Off-Leash,N,
36,B088,Herbert Von King Park Dog Run,Marcy Avenue & Lafayette Avenue,Run,N,
37,B223G,Hillside Park Dog Run,Columbia Heights & Middagh Street,Run,N,
38,B111,J.J. Byrne Memorial Park Dog Run,"3rd to 4th streets, 4th to 5th avenues",Run,N,
39,B035,John Paul Jones Park Off-Leash Area,4th Avenue and 101st Street ,Off-Leash,N,
40,B129,Kaiser Park Off-Leash Area,"Neptune Avenue between West 24th Street & Bayview Avenue, Coney Island Creek",Off-Leash,N,
41,B052,Leif Ericson Park Off-Leash Area,67th Street between 6th Avenue and 7th Avenue,Off-Leash,N,
42,B054,Lincoln Terrace Park Off-Leash Area,Eastern Parkway between Buffalo and Rochester avenues,Off-Leash,N,
43,B223S,Macri Square Park Off-Leash Area,Union Turnpike and Metropolitan Avenue,Off-Leash,N,Off-leash dogs are permitted throughout this small park.
44,B251,Manhattan Beach Dog Run,"East of Ocean Avenue, North Shore Rockaway inlet",Run,N,
45,B057,Marine Park Off-Leash Area,"All areas excluding the playgrounds, ballfields, and Natural Areas.",Off-Leash,N,
46,B058,McCarren Park Dog Run,"North 12th Street, Driggs Avenue and Union Avenue",Run,N,
47,B114,McGolrick Park Dog Run,North Henry Street and Driggs Avenue,Run,N,
48,B060,McKinley Park Off-Leash Area,"Fort Hamilton Parkway, 7th Avenue, 73rd Street to 75th Street",Off-Leash,N,
49,B159,Mount Prospect Park Off-Leash Area,Eastern Parkway between Washington and Underhill avenues,Off-Leash,N,
50,B066,Owls Head Park Dog Run,68th Street and Shore Road,Run,N,
51,B223DA,Adam Yauch Park Dog Run,Columbia Place & State Street,Run,N,
52,B073,Prospect Park Off-Leash Area,"Middle & Upper Long Meadow (excludes ballfield area in the Lower Long Meadow), Nethermead, Peninsula.",Off-Leash,N,
53,B082,Shore Road Park Off-Leash Area,"Shore Road, 4th Avenue to 69th Street ",Off-Leash,N,
54,B087,Sunset Park Off-Leash Area,"Sunset Park Oval lawn area only, center of park 44th Street, 41st Street, 6th Avenue",Off-Leash,N,
55,M081,Carl Schurz Park Dog Run (2 runs),East End Avenue to East River from Gracie Square (East 84th Street) to 89th Street,Run,N,
56,M010,Central Park Off-Leash Area,"Though there are no enclosed dog runs, there are 23 particularly dog-friendly areas scattered throughout the Park.",Off-Leash,N,"Please see Central Park Conservancy's <a href=""http://assets.centralparknyc.org/pdfs/about/Dog_Owner_Guide_to_Central_Park.pdf"">Dog-Friendly Areas</a> document for details."
57,M,Chelsea Waterside Park Dog Run,11th Ave and 22nd Street,Run,N,"<em>*Please note: this dog run is administered by the Hudson River Park Trust.</em>
<br /><a href=""http://www.hudsonriverpark.org/explore/dogruncw.html"">More information.</a>"
58,M019,Coleman Oval Park Dog Run,Pike and Monroe streets,Run,N,
59,M022,De Witt Clinton Park Dog Run (2 runs),"West 52nd Street & West 54th Street, between 10th & 11th avenues",Run,N,
60,M291,Fish Bridge Park Dog Run,"Dover Street, between Pearl & Water Street",Run,N,
61,M029,Fort Tryon Park Dog Run,Margaret Corbin Drive,Run,N,"<a href=""http://www.ftdog.org/"">More information.</a>"
62,M028,Ft. Washington Park Dog Run,165th Street & Riverside Drive,Run,N,
63,M037,Highbridge Park Dog Run,Amsterdam and Fort George avenues,Run,N,"<a href=""http://www.highbridgek9club.org/"">More Information</a>."
64,M,Hudson River Park Dog Run (Greenwich Village),Leroy Street at the northeast corner of Pier 40,Run,N,"<a href=""http://www.hudsonriverpark.org/explore/dogrunleroyst.html"">More information.</a>"
65,M,Hudson River Park Dog Run (North Chelsea),Pier 84 at West 44th Street,Run,N,"<a href=""http://www.hudsonriverpark.org/explore/dogrunpier84.html"">More information.</a>"
66,M042,Inwood Hill Park Dog Run: Homer's Run,Seaman Avenue & Isham Street,Run,N,"Seaman Avenue & Isham Street, just north of the flagpole. More information at <a href=""http://www.inwoof.com/"">www.inwoof.com </a>."
67,M099,J. Hood Wright Park Dog Run,"Fort Washington & Haven Avenues, West 173rd Street",Run,N,
68,M052,Madison Square Park Dog Run,Madison Avenue to 5th Avenue between East 23rd Street & East 26th Street,Run,N,
69,M058,Marcus Garvey Park Dog Run,Madison Avenue and East 120th Street,Run,N,
70,M056,Morningside Park Dog Run,Morningside Avenue between 114th and 119th streets,Run,N,
71,M108N,Peter Detmold Park Dog Run,"West of FDR Drive, between East 49th & East 51st streets",Run,N,
72,M104,Randalls Island Park Off-Leash Area,"Except for areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,Off-leash hours for the island are before 9:00 a.m. and after 9:00 p.m.
73,M071,Riverside Park Dog Run (3 runs),"Riverside Drive at West 72nd, West 87th, West 105th",Run,N,"<a href=""http://nycgovparks.org/sub_your_park/vt_riverside_park/images/dog_owners_guide_riverside_park.pdf"">Dog Owners' Guide to Riverside Park </a>"
74,M158,Robert Moses Park Dog Run,41st & 42nd streets at 1st Avenue,Run,N,
75,M077,St. Nicholas Park Dog Run,"St Nicholas Avenue to St. Nicholas Terrace, West 128th to West 141 streets",Run,N,
76,M053,Theodore Roosevelt Park Dog Run,Central Park West at West 81st Street,Run,N,
77,M047,Thomas Jefferson Park Dog Run,East 112th Street and FDR Drive,Run,N,
78,M088,Tompkins Square Park Dog Run,"1st Avenue to Avenue B, from East 7th to East 10th streets",Run,Y,
79,M089,Union Square Dog Run,15th Street & Union Square West,Run,N,
80,M098,Washington Square Park Dog Run,"5th Avenue, Waverly Place, West 4th Street, between McDougal & Thompson streets, south side of the park (behind building)",Run,N,
81,Q001,Alley Pond Park Off-Leash Area,Grand Central Parkway/Winchester Boulevard/Kingsbury Avenue,Off-Leash,N,
82,Q004,Astoria Park Off-Leash Area,,Off-Leash,N,
83,Q005,Baisley Pond Park Off-Leash Area,Between119th and 123rd avenues,Off-Leash,N,
84,Q005,Baisley Pond Park Off-Leash Area,Lakeview Lane between Foch Boulevard and Lakeview Lane East,Off-Leash,N,
85,Q007,Bayswater Park Off-Leash Area,,Off-Leash,N,
86,Q012,Crocheron Park Off-Leash Area,,Off-Leash,N,
87,Q021,Cunningham Park Dog Run,193rd Street between Aberdeen Road & Radnor Road,Run,N,
88,Q099,Flushing Meadows Corona Park Off-Leash Area,,Off-Leash,N,
89,Q015,Barking Lot,"Corner of Park Lane and Forest Park Drive, behind the Overlook building at 80-30 Park Lane",Run,N,
90,Q015,K9 Korral,Park Lane South and 85th Street,Run,N,
91,Q102,Juniper Valley Park Off-Leash Area,,Off-Leash,N,
92,Q393D,La Guardia Landing Lights Off-Leash Area,,Off-Leash,N,
93,Q393D,Landing Lights Off-Leash Area,"Grand Central Parkway, 81 Street & 82 Street & Astoria Boulevard, 23 Avenue 84, 24 thru 30 Avenues, 77 Street through 81 Street",Off-Leash,N,
94,Q010A,Little Bay Park Dog Run,North side of the Cross Island Parkway & Utopia Parkway,Run,N,
95,Q009,MacNeil Park Off-Leash Area,Mainly zone #1,Off-Leash,N,
96,Q141,Murray Playground Dog Run,21st Street & 45th Road (southeastern side of the park),Run,N,
97,Q104,Queensbridge Park Off-Leash Area,,Off-Leash,N,
98,Q048,Rainey Park Off-Leash Area,,Off-Leash,N,
99,Q004A,Ralph DeMarco Park Off-Leash Area,,Off-Leash,N,
100,Q371,Rockaway Community Park Off-Leash Area,Almeda Avenue between Beach 51st Street and Beach 54th Street,Off-Leash,N,
101,Q219,Rockaway Freeway Dog Park,Rockaway Freeway and Beach 84th Street,Run,N,
102,Q341C,Sherry Park Dog Run,"Queens Boulevard, 65 Place, and the Brooklyn-Queens Expressway",Run,N,
103,Q107,Springfield Park Off-Leash Area,,Off-Leash,N,
104,Q451,Underbridge Playground Dog Run,64th Avenue/64th Road on Grand Central Parkway service road,Run,N,
105,Q013,Veteran's Grove Dog Run,Judge Street & Whitney Avenue (south side of Park),Run,N,
106,Q031A,Windmuller Park Dog Run (Doughboy Plaza),"Woodside Avenue, 54-56 streets",Run,N,
107,Q425,Yellowstone Park Off-Leash Area,Sitting area located at 68 Road and Yellowstone Boulevard.  ,Off-Leash,N,Hours: 6:00 a.m. to 9:00 a.m. only 
108,R052,Allison Park Off-Leash Area,"Field at the end of the trail bordered by Prospect Avenue, Sailors Snug Harbor Cemetery, and the pond.",Off-Leash,N,
109,R059,Arthur Von Briesen Park Off-Leash Area,"Lawn area, mid-park right side 
",Off-Leash,N,
110,R005,Clove Lakes Park Off-Leash Area,Open field above picnic area near Royal Oak Rd. & Rice Ave.,Off-Leash,N,
111,R070,Clove&rsquo;s Tail Park Off-Leash Area,"Lawn area, corner of Victory Boulevard & Little Clove Road
",Off-Leash,N,
112,R027,Cozzens Woods Park Off-Leash Area,Page Avenue between Hylan Boulevard & Amboy Road,Off-Leash,N,
113,R121,Siedenburg Park Off-Leash Area,Greaves Avenue & Evergreen Street,Off-Leash,N,
114,R075A,Father Macris Park Off-Leash Area,Lawn area beyond ballfield,Off-Leash,N,
115,R079,Lemon Creek Park Off-Leash Area,Bottom of Seguine Avenue at Johnston Terrace; just below playground,Off-Leash,N,
116,R022,Silver Lake Park Dog Run,"Victory Boulevard below the pavilion, across from the Parkview Apartments",Run,N,
117,R046,South Beach Park Off-Leash Area,,Off-Leash,N,On sand after Labor Day and before Memorial Day
118,R030,Willowbrook Park Off-Leash Area,Archery Range Field,Off-Leash,N,
119,R031,Wolfe's Pond Park Dog Run,Run is to left of Cornelia Avenue,Run,N,
120,R005,Clove Lakes Park Off-Leash Area,Brookside Avenue between Alpine Court & Kingsley Avenue (lawn area),Off-Leash,N,
121,B077,Coffey Park Off-Leash Area,"King Street, Richards Street, and Verona Street at Dwight and Pioneer Streets",Off-Leash,N,
122,M017,Corlears Hook Park Dog Run,Cherry Street and Jackson Street (on the north side of the park building),Run,N,
123,M108Q1,East River Esplanade at 63rd Street Dog Run,East River at 63rd Street,Run,N,
124,R065,Amundsen Trail Off-Leash Area,Between Amboy Road and Hylan Boulevard,Off-Leash,N,
125,R106,Bloomingdale Park Dog Run,Maguire Avenue behind athletic fields closer to Romona Avenue ,Run,N,
126,Q471,Hunter's Point South Park Dog Run,,Run,N,
127,Q340,Torsney/Lou Lodati Playground Dog Run,43rd Street & Skillman Avenue,Run,N,
128,B012,Brower Park,"St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.",Off-Leash,N,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours."
129,B025,Cooper Park,At the intersection of Morgan Avenue and Sharon Street,Run,N,
130,M042,Dyckman Fields,"Dyckman Street, near the Hudson River",Off-Leash,N,
131,X045,St. Mary's Dog Run,Near corner of Cypress Ave and East 143rd St,Run,N,
132,R006,Conference House Park Dog Run,Clermont Avenue and Massachusetts Street,Run,N,
133,X118,Soundview Dog Run,Lafayette Avenue Between Colgate and Boynton Avenues,,Y,Large and small dog runs.
134,X092,Woodlawn Dog Run,Van Cortlandt Park East between Oneida Avenue and East 238th Street,Run,N,
135,B016,Maria Hernandez Park,Irving Ave. & Suydam St.,Run,Y,
136,Q015,Forest Park,,Off-Leash,N,"Some park areas allow dogs to be off leash from the time the park opens until 9:00 a.m. and from 9:00 p.m. until the park closes. Dogs are not permitted in playgrounds, fountains, natural areas/trails, ballfields, and on athletic courts."
137,X002,Bronx Park Dog Run,Boston Road & Bronx Park East,Run,Y,
138,Q066C,Triborough Bridge Playground C Dog Run,Hoyt Ave & 24th St,Run,Y,
