id,Name,Phone,Location,Latitude,Longitude
19,Elliot Jill DVM,(212) 633-7400,"75 8th Ave, New York, NY 10014",40.739795,-74.003043
20,InstaVet - Brooklyn Animal Hospital,(917) 525-2579,"105 Prospect Park West, Brooklyn, NY 11215",40.666832,-73.975336
21,At Home Veterinary Services,(646) 688-3087,"1619 3rd Ave, New York, NY 10128",40.781569,-73.950924
22,Ideal Pet Veterinary Clinic,(971) 331-6888,"356 E 116th St, New York, NY 10029",40.796272,-73.935945
23,The Cat Practice,(212) 677-1401,"145 W 24th St 3rd floor, New York, NY 10011",40.744607,-73.994024
24,Pethaus Inc,(212) 567-1097,"4779 Broadway, New York, NY 10034",40.8663,-73.926541
25,Banfield Pet Hospital,(212) 996-3238,"517 E 117th St, New York, NY 10035",40.795561,-73.931118
26,Queens Midway Animal Hospital,(718) 591-9223,"7746 164th St, Flushing, NY 11366",40.723206,-73.805017
27,VetCierge Veterinary House Calls,(212) 969-9729,"515 W 59th St, New York, NY 10019",40.771092,-73.988355
28,Small Door Veterinary,(212) 933-9044,"157th Ave, New York, NY 10011",40.737024,-74.000593
29,Faithful Friends Animal Hospital,(718) 339-7387,"2455 McDonald Ave, Brooklyn, NY 11223",40.592257,-73.973749
30,Oliver's Dog & Cat Clinic,(212) 348-7070,"2232 1st Avenue, New York, NY 10029",40.795258,-73.935817
31,St Mina animal clinic,(718) 296-0500,"7623 Jamaica Ave, Woodhaven, NY 11421",40.691963,-73.865031
32,Animal Care Centers of NYC - Manhattan,(212) 788-4000,"326 E 110th St, New York, NY 10029",40.792714,-73.939403
33,Seaport Animal Hospital,(212) 374-0650,"80 Beekman St, New York, NY 10038",40.708919,-74.003874
34,St. Marks Veterinary Hospital,(212) 477-2688,"348 E 9th St, New York, NY 10003",40.728245,-73.985516
35,Rivergate Veterinary Clinic,(212) 213-9885,"403 E 37th St, New York, NY 10016",40.745692,-73.971605
36,Midtown Animal Hospital,(212) 683-0309,"256 E 33rd St # 1, New York, NY 10016",40.744061,-73.976713
37,Heart of Harlem Veterinary Clinic,(212) 280-3700,"Door #1, 2143 Adam Clayton Powell Jr Blvd 2nd Floor, New York, NY 10027",40.810521,-73.947037
38,Yorkville Animal Hospital,(212) 249-8802,"227 E 84th St, New York, NY 10028",40.77763,-73.954359
39,Upper East Side Animal Hospital,(212) 396-3020,"310 E 65th St #1C, New York, NY 10065",40.764248,-73.96109
40,Lenox Hill Veterinarians,(212) 879-1320,"204 E 76th St, New York, NY 10021",40.772261,-73.95833
41,Animal Clinic of New York,(212) 628-5580,"1623 1st Avenue, New York, NY 10028",40.776013,-73.950298
42,Carnegie Hill Veterinarians,(212) 369-5665,"1707 3rd Ave, New York, NY 10128",40.784839,-73.949256
43,West Village Veterinary Hospital,(212) 633-7400,"75 8th Ave, New York, NY 10014",40.739613,-74.002963
44,Westside Animal Hospital,(212) 247-8600,"666 10th Ave, New York, NY 10036",40.762535,-73.992979
45,Tribeca Soho Animal Hospital,(212) 925-6100,"5 Lispenard St, New York, NY 10013",40.720587,-74.004865
46,First Avenue Veterinary Hospital,(212) 674-0111,"335 1st Avenue, New York, NY 10003",40.734835,-73.980389
47,Center For Veterinary Care,(212) 734-7480,"236 E 75th St # 2, New York, NY 10021",40.770964,-73.95786
48,Cooper Square Veterinary Hospital,(212) 777-2630,"211 E 5th St, New York, NY 10003",40.727605,-73.990439
49,ABC Animal Hospital,(212) 358-0785,"200 Avenue A, New York, NY 10009",40.72925,-73.980832
50,Sutton Animal Hospital,(212) 935-0823,"1147 1st Avenue, New York, NY 10065",40.762087,-73.960567
51,VitalPet - Murray Hill Pet Hospital,(212) 685-2857,"47 E 30th St, New York, NY 10016",40.744936,-73.9835
52,Greenwich Village Animal Hospital,(212) 691-1100,"504 Hudson St, New York, NY 10014",40.733323,-74.006176
53,Urban Vets Animal Hospital,(212) 674-6200,"163 Loisaida Ave, New York, NY 10009",40.726075,-73.977738
54,BluePearl Pet Hospital,(212) 924-3311,"1 W 15th St, New York, NY 10011",40.736961,-73.99339
55,"Lawrence a Zola, DVM, PC,",(212) 288-8884,"354 E 66th St, New York, NY 10065",40.763977,-73.959247
56,Gotham Veterinary Center,(212) 222-1900,"700 Columbus Ave, New York, NY 10025",40.792069,-73.968504
57,Animal Health Center,(212) 360-5820,"1676 1st Avenue, New York, NY 10128",40.777834,-73.948404
58,Gramercy Park Animal Hospital,(212) 477-4080,"37 E 19th St, New York, NY 10003",40.738276,-73.988945
59,Battery Park Veterinary Hospital,(212) 786-4444,"21 South End Ave Ground Floor, New York, NY 10280",40.708137,-74.017806
60,Upper East Veterinary Center,(212) 369-8387,"207 E 94th St, New York, NY 10128",40.783784,-73.949456
61,BluePearl Pet Hospital,(718) 263-0099,"107-28 71st Rd, Forest Hills, NY 11375",40.720399,-73.842915
62,Alternative Veterinary Care,(212) 865-2224,"250 W 108th St, New York, NY 10025",40.802498,-73.967094
63,Columbus Circle Veterinary Hospital,(212) 245-3302,"2 Columbus Ave # 3, New York, NY 10023",40.7695,-73.984908
64,NYC Veterinary Specialists,(718) 263-0098,"107 W 71st St #24, New York, NY 10023",40.775852,-73.977707
65,Heart of Chelsea Veterinary Group - Lower East Side,(212) 390-8387,"241 Eldridge St, New York, NY 10002",40.722701,-73.989776
66,Animal General,(212) 501-9600,"558 Columbus Ave, New York, NY 10024",40.787384,-73.971787
67,Worth Street Veterinary Center,(212) 257-6900,"77 Worth St #1, New York, NY 10013",40.717005,-74.00552
68,Park East Animal Hospital,(212) 832-8417,"1390 2nd Ave, New York, NY 10021",40.768394,-73.958423
69,New York Cat Hospital,(212) 535-6369,"143 Freedom Pl, New York, NY 10069",40.776781,-73.988523
70,"Community Veterinary Medicine, LLC Veterinarian",(646) 912-9513,"3657 Broadway, New York, NY 10031 ",40.830255,-73.9479715
71,Abingdon Square Veterinary Clinic,(212) 242-9169,"130 W 10th St, New York, NY 10014",40.734558,-74.000319
72,InstaVet - Manhattan Animal Hospital,(917) 525-2579,"244 9th Ave, New York, NY 10001",40.747447,-74.000375
73,Elmhurst Animal Emergency Hospital,(718) 426-4444,"87-06 Queens Blvd, Elmhurst, NY 11373 ",40.735255,-73.876119
74,Reade Street Animal Hospital,(212) 274-1700,"146 Reade St, New York, NY 10013 ",40.716723,-74.009991
75,Kalvig and Shorter Veterinary Associates,(212) 644-1022,"133 E 39th St, New York, NY 10016 ",40.749526,-73.976912
76,West Chelsea Veterinary,(212) 645-2767,"248 W 26th St, New York, NY 10001",40.746753,-73.996301
77,Veterinary Emergency Group,(212) 223-3500,"1215 2nd Ave, New York, NY 10065",40.763646,-73.962362
78,Gotham Animal Clinic,(212) 777-7299,"329 2nd Ave, New York, NY 10003",40.735607,-73.982784
79,The Humane Society of New York,(212) 752-4840,"306 E 59th St, New York, NY 10022",40.760183,-73.963882
80,NYC VET HOUSECALLS,(212) 767-0099,"321 E 52nd St, New York, NY 10022 ",40.7755832,-73.966485
81,Loving Hands Animal Hospital,(212) 396-1766,"115 E 89th St # 9E, New York, NY 10128",40.781903,-73.954706
82,Tribeca Veterinary Wellness,(212) 732-7474,"256 West St, New York, NY 10013 ",40.722533,-74.011421
83,West Parc Veterinary Clinic,null,"8 W 86th St, New York, NY 10024 ",40.785336,-73.970184
84,Bronx Veterinary Center,(718) 933-1002,"2460 Webster Ave, The Bronx, NY 10458",40.860006,-73.892688
85,Manhattan Cat Specialists,(212) 721-2287,"230 W 76th St, New York, NY 10023",40.781847,-73.981511
86,VERG,(718) 522-9400,"196 4th Ave, Brooklyn, NY 11217 ",40.678479,-73.98272
87,The Heights Veterinary Clinic,(212) 543-9900,"463 Fort Washington Ave, New York, NY 10033 ",40.850734,-73.938512
88,Downtown Veterinary Clinic,(212) 463-8705,"244 9th Ave, New York, NY 10011",40.747449,-74.000377
89,Junglelife Animal Hospital Inc.,(305) 887-2342,"137 W 67th St, New York, NY 10023",40.775335,-73.98315
90,Washington Sq Animal Hospital,(212) 674-1670,"23 E 9th St, New York, NY 10003",40.732669,-73.994466
91,Feline Health,(212) 879-0700,"1533 1st Avenue, New York, NY 10028",40.773586,-73.952269
92,The Village Veterinarian,(212) 979-9870,"318 E 11th St, New York, NY 10003",40.730199,-73.985729
93,Inwood Animal Clinic,(212) 304-8387,"4846 Broadway, New York, NY 10034",40.866615,-73.924479
94,Pure Paws Veterinary Care of Hell's Kitchen,(917) 534-7838,"506 W 42nd St, New York, NY 10036",40.759821,-73.996235
95,One Love Animal Hospital,(718) 532-7410,"317 Atlantic Ave, Brooklyn, NY 11201",40.688458,-73.988048
96,Heart of Chelsea Veterinary Group,(212) 924-6116,"257 W 18th St, New York, NY 10011",40.742381,-74.000219
97,Court Square Animal Hospital,(718) 577-4701,"4234 Crescent St, Long Island City, NY 11101",40.754373,-73.940547
98,Bond Vet - Upper East Side,(212) 945-8115,"1049 3rd Ave, New York, NY 10065",40.774232,-73.965314
99,Westside Veterinary Center,(212) 580-1800,"220 W 83rd St, New York, NY 10024",40.787159,-73.977295
100,Xpfizer Animal Health,(212) 733-2323,"235 E 42nd St, New York, NY 10017",40.751777,-73.972611
101,Riverside Veterinary Clinic,(212) 923-1991,"4151 Broadway, New York, NY 10033",40.855827,-73.933558
102,Animal Hospital of Morris Park,(718) 822-3309,"1135 Morris Park Ave, The Bronx, NY 10461",40.852602,-73.852624
103,Pet Haven Animal Hospital,(718) 435-6900,"290 McDonald Ave, Brooklyn, NY 11218",40.648033,-73.980431
104,"Eveline Han, VMD",(212) 988-4650,"207 E 84th St, New York, NY 10028",40.781047,-73.951746
105,Symphony Veterinary Center,(212) 866-8000,"170 W 96th St, New York, NY 10025",40.793833,-73.969878
106,All Creatures Veterinary Hospital of Brooklyn,(347) 915-1420,"643 Washington Ave, Brooklyn, NY 11238",40.678407,-73.963482
107,The Center For Avian & Exotic Medicine,(212) 501-8750,"562 Columbus Ave, New York, NY 10024",40.787743,-73.971752
108,Crown Heights Animal Hospital,(718) 622-0052,"753 Franklin Ave, Brooklyn, NY 11238",40.676948,-73.955597
109,BluePearl Pet Hospital,(718) 596-0099,"190 3rd Ave, Brooklyn, NY 11217",40.680455,-73.984222
