UniqueID,DateOfBite,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
133,2015-04-14,American Pit Bull Mix / Pit Bull Mix,2,F,TRUE,Brooklyn,11216
134,2015-04-10,Siberian Husky,NA,U,FALSE,Brooklyn,11226
135,2015-04-16,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn,11208
136,2015-04-16,Rottweiler,1,M,TRUE,Brooklyn,11228
137,2015-04-14,Beagle Crossbreed,19,M,FALSE,Brooklyn,11214
138,2015-04-13,NA,NA,U,FALSE,Brooklyn,11221
139,2015-04-11,Pit Bull,NA,U,FALSE,Brooklyn,11207
140,2015-04-19,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11221
141,2015-04-19,German Shepherd Crossbreed,15,F,TRUE,Brooklyn,11222
142,2015-04-17,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11231
143,2015-04-20,NA,4M,U,FALSE,Brooklyn,11224
144,2015-04-18,NA,NA,U,FALSE,Brooklyn,11220
145,2015-04-19,ITALIAN MASTIFF,3,F,FALSE,Brooklyn,11221
146,2015-04-12,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11235
147,2015-04-19,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11221
148,2015-04-17,BEAGLE/JACK RUSS,4,M,TRUE,Brooklyn,11224
149,2015-04-19,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn,11218
150,2015-04-22,Maltese,7,F,TRUE,Brooklyn,11237
151,2015-04-23,Cane Corso,15,F,FALSE,Brooklyn,11238
152,2015-04-23,PARSON RUSSELLTERR,2,M,TRUE,Brooklyn,11231
153,2015-04-24,"Poodle, Standard",NA,U,FALSE,Brooklyn,11221
154,2015-04-25,Shih Tzu,5,M,TRUE,Brooklyn,11219
155,2015-04-26,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11212
156,2015-04-25,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11221
157,2015-04-25,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11221
158,2015-04-27,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn,11218
159,2015-04-20,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11218
160,2015-04-25,UNKNOWN,NA,U,FALSE,Brooklyn,11201
161,2015-04-25,German Shepherd,7,M,TRUE,Brooklyn,11234
162,2015-04-11,American Pit Bull Terrier/Pit Bull,3,F,TRUE,Brooklyn,11220
163,2015-04-29,Pug,3,M,TRUE,Brooklyn,11223
164,2015-04-29,POINTER/BEAGLE X,7,F,FALSE,Brooklyn,11249
165,2015-04-29,SHIBA INU,5,M,TRUE,Brooklyn,11221
166,2015-04-30,NA,NA,U,FALSE,Brooklyn,11220
167,2015-04-26,Chihuahua,2,F,FALSE,Brooklyn,11220
168,2015-04-30,GERMAN SHEPHERD/RIDGEBACK,5,M,TRUE,Brooklyn,11231
169,2015-05-01,Bichon Frise,8,M,TRUE,Brooklyn,11223
170,2015-05-01,STAFFORDSHIRE TERR,7,F,TRUE,Brooklyn,11221
171,2015-04-19,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11223
172,2015-05-02,Chihuahua Crossbreed,NA,U,FALSE,Brooklyn,11214
173,2015-05-02,"Collie, Border",14,M,TRUE,Brooklyn,11234
174,2015-05-04,American Pit Bull Mix / Pit Bull Mix,8M,M,FALSE,Brooklyn,11204
175,2015-05-04,Belgian Malinois,NA,U,FALSE,Brooklyn,11213
176,2015-05-01,Boxer,2,M,TRUE,Brooklyn,11237
177,2015-05-03,NA,NA,U,FALSE,Brooklyn,11216
178,2015-05-01,MALTESE - X,3,F,FALSE,Brooklyn,11209
179,2015-05-05,German Shepherd,NA,U,FALSE,Brooklyn,11220
180,2015-05-06,"Collie, Smooth Coat",10,F,TRUE,Brooklyn,11220
181,2015-04-29,NA,7,M,FALSE,Brooklyn,11204
182,2015-05-06,CHIHUAHUA/BOSTON TERR X,5,M,TRUE,Brooklyn,11222
183,2015-05-10,American Pit Bull Terrier/Pit Bull,13,M,TRUE,Brooklyn,11234
184,2015-05-10,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11228
185,2015-05-09,Siberian Husky,14,M,TRUE,Brooklyn,11231
186,2015-05-09,American Pit Bull Mix / Pit Bull Mix,5,F,TRUE,Brooklyn,11208
187,2015-05-01,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11217
188,2015-05-03,American Pit Bull Terrier/Pit Bull,NA,F,FALSE,Brooklyn,11231
189,2015-05-07,Australian Shepherd,5,M,TRUE,Brooklyn,11238
190,2015-05-08,NA,NA,U,FALSE,Brooklyn,11209
191,2015-05-09,American Pit Bull Terrier/Pit Bull,8,M,TRUE,Brooklyn,11219
192,2015-05-11,American Pit Bull Terrier/Pit Bull,2,F,FALSE,Brooklyn,11218
193,2015-04-25,Shih Tzu,4,M,TRUE,Brooklyn,11226
194,2015-05-03,Pit Bull,NA,U,FALSE,Brooklyn,11235
195,2015-05-12,American Pit Bull Mix / Pit Bull Mix,5,M,TRUE,Brooklyn,11213
196,2015-05-12,Bloodhound,4,M,TRUE,Brooklyn,11231
197,2015-05-12,Jack Russ,10,M,TRUE,Brooklyn,11215
198,2015-05-14,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11211
199,2015-05-14,"Cocker Spaniel, American",10,M,TRUE,Brooklyn,11220
200,2015-05-14,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn,11232
201,2015-04-28,American Pit Bull Mix / Pit Bull Mix,1,M,TRUE,Brooklyn,11234
202,2015-05-15,Cocker Spaniel Crossbreed,NA,M,FALSE,Brooklyn,11205
203,2015-05-18,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
204,2015-05-18,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
205,2015-01-08,American Pit Bull Terrier/Pit Bull,1,M,TRUE,Brooklyn,11224
206,2015-05-12,Cane Corso,5,F,TRUE,Brooklyn,11233
207,2015-05-17,NA,NA,U,FALSE,Brooklyn,11226
208,2015-05-06,CORGI,NA,M,FALSE,Brooklyn,11222
209,2015-05-21,Shih Tzu,NA,U,FALSE,Brooklyn,11229
210,2015-05-21,NA,NA,U,FALSE,Brooklyn,11233
211,2015-05-20,MUTT,1,F,TRUE,Brooklyn,11201
212,2015-05-24,PIT BULL/LAB X,2,F,FALSE,Brooklyn,11236
213,2015-05-24,PIT BULL/LAB X,2,F,FALSE,Brooklyn,11236
214,2015-05-24,Labrador Retriever,NA,U,FALSE,Brooklyn,11215
215,2015-05-24,NA,1,M,FALSE,Brooklyn,11207
216,2015-05-25,Labrador Retriever,3,F,FALSE,Brooklyn,11234
217,2015-05-17,NA,NA,U,FALSE,Brooklyn,11226
218,2015-05-23,"Mastiff, Tibetan",1,M,TRUE,Brooklyn,11214
219,2015-05-24,SCHNAUZER,NA,M,FALSE,Brooklyn,11215
220,2015-05-18,NA,NA,U,FALSE,Brooklyn,11220
221,2015-05-27,NA,NA,U,FALSE,Brooklyn,11226
222,2015-05-28,Pit Bull,NA,U,FALSE,Brooklyn,11237
223,2015-05-24,Pit Bull,NA,U,FALSE,Brooklyn,11221
224,2015-05-23,American Pit Bull Mix / Pit Bull Mix,6,M,TRUE,Brooklyn,11205
225,2015-05-28,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11213
226,2015-05-28,American Pit Bull Mix / Pit Bull Mix,3,M,FALSE,Brooklyn,11236
227,2015-05-26,Saint Bernard,NA,U,FALSE,Brooklyn,11214
228,2015-05-28,Chihuahua,NA,U,FALSE,Brooklyn,11208
229,2015-05-30,West High White Terrier,4,M,FALSE,Brooklyn,11224
230,2015-05-30,West High White Terrier,4,M,FALSE,Brooklyn,11224
231,2015-05-31,Chihuahua,1,M,FALSE,Brooklyn,11207
232,2015-05-30,"Collie, Border",NA,U,FALSE,Brooklyn,11211
233,2015-05-29,Labrador Retriever Crossbreed,8,F,TRUE,Brooklyn,11229
234,2015-05-30,NA,NA,U,FALSE,Brooklyn,11207
235,2015-05-28,NA,NA,U,FALSE,Brooklyn,11232
236,2015-06-01,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11207
237,2015-06-02,Chow Chow,1,M,FALSE,Brooklyn,11233
238,2015-06-02,Doberman Pinscher,7,M,TRUE,Brooklyn,11228
239,2015-06-01,Yorkshire Terrier,2,M,FALSE,Brooklyn,11217
240,2015-06-03,SHORKY,8,M,TRUE,Brooklyn,11238
241,2015-05-31,HAVANESE X,4,M,TRUE,Brooklyn,11236
242,2015-05-27,BLUE HEELER X,9,M,TRUE,Brooklyn,11237
243,2015-06-04,Pit Bull,3,F,TRUE,Brooklyn,11226
244,2015-06-04,American Pit Bull Terrier/Pit Bull,4,M,FALSE,Brooklyn,11226
245,2015-06-04,Yorkshire Terrier,2,M,TRUE,Brooklyn,11214
246,2015-06-05,NA,NA,U,FALSE,Brooklyn,11232
247,2015-06-06,Chow Chow,4,M,FALSE,Brooklyn,11234
248,2015-06-05,Lhasa Apso,5,M,TRUE,Brooklyn,11231
249,2015-06-06,"Poodle, Standard",3,M,TRUE,Brooklyn,11234
250,2015-06-07,"Pointer, German Shorthaired",8,F,TRUE,Brooklyn,11231
251,2015-05-30,SCHNOODLE,NA,U,FALSE,Brooklyn,11211
252,2015-05-30,Chow Chow,2,M,FALSE,Brooklyn,11208
253,2015-06-05,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11221
254,2015-06-10,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11237
255,2015-06-09,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11213
256,2015-06-10,NA,5,M,FALSE,Brooklyn,11223
257,2015-06-10,Cane Corso,2,M,FALSE,Brooklyn,11224
258,2015-05-07,NA,6,F,FALSE,Brooklyn,11226
259,2015-06-09,American Pit Bull Mix / Pit Bull Mix,2,F,FALSE,Brooklyn,11208
260,2015-06-09,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11224
261,2015-06-12,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11233
262,2015-06-12,Maltese,NA,U,FALSE,Brooklyn,11235
263,2015-06-12,NA,NA,U,FALSE,Brooklyn,11222
264,2015-06-14,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11208
265,2015-06-12,NA,NA,U,FALSE,Brooklyn,11220
266,2015-06-12,Jack Russ,2,M,TRUE,Brooklyn,11235
267,2015-06-12,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11216
268,2015-06-16,DOBERMAN X,1,F,FALSE,Brooklyn,11215
269,2015-06-14,American Eskimo,5,M,TRUE,Brooklyn,11230
270,2015-06-19,American Staffordshire Terrier,7,F,TRUE,Brooklyn,11233
271,2015-06-18,BOSTON TERR/BOXER X,NA,U,FALSE,Brooklyn,11228
272,2015-06-07,Chihuahua,3,M,TRUE,Brooklyn,11217
273,2015-06-22,Golden Retriever,12,F,TRUE,Brooklyn,11229
274,2015-06-22,MALTESE/CHIHUAHUA X,1,M,FALSE,Brooklyn,11217
275,2015-06-19,Pit Bull,5,M,TRUE,Brooklyn,11211
276,2015-06-19,Pit Bull,NA,U,FALSE,Brooklyn,11229
277,2015-06-18,American Pit Bull Terrier/Pit Bull,2,M,TRUE,Brooklyn,11235
278,2015-06-22,Maltese,7,F,TRUE,Brooklyn,11220
279,2015-06-23,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn,11233
280,2015-06-24,NA,NA,U,FALSE,Brooklyn,11226
281,2015-06-24,American Pit Bull Terrier/Pit Bull,NA,M,FALSE,Brooklyn,11230
282,2015-06-26,UNKNOWN,NA,U,FALSE,Brooklyn,11220
283,2015-06-24,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11224
284,2015-06-28,American Pit Bull Terrier/Pit Bull,5,M,FALSE,Brooklyn,11203
285,2015-06-23,NA,NA,U,FALSE,Brooklyn,11232
286,2015-06-26,Maltese,1,M,FALSE,Brooklyn,11236
287,2015-06-24,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11231
288,2015-06-11,NA,NA,U,FALSE,Brooklyn,11206
289,2015-06-21,Pit Bull,NA,U,FALSE,Brooklyn,11230
290,2015-06-19,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11229
291,2015-06-21,Mixed/Other,2,M,FALSE,Brooklyn,11213
292,2015-07-01,Vizsla,4,M,TRUE,Brooklyn,11249
293,2015-06-27,NA,NA,U,FALSE,Brooklyn,11220
294,2015-06-29,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11224
295,2015-07-02,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11219
296,2015-03-17,Jack Russ,10,M,FALSE,Brooklyn,11221
297,2015-07-05,Pit Bull,NA,U,FALSE,Brooklyn,11213
298,2015-04-18,NA,NA,U,FALSE,Brooklyn,11221
299,2015-01-11,NA,NA,U,FALSE,Brooklyn,11207
300,2015-06-22,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11236
301,2015-07-03,NA,NA,U,FALSE,Brooklyn,11234
302,2015-07-03,NA,NA,U,FALSE,Brooklyn,11226
303,2015-07-02,Chihuahua,3,M,FALSE,Brooklyn,11212
304,2015-07-03,CHOW CHOW/SHEPARD X,12,M,FALSE,Brooklyn,11207
305,2015-07-04,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11210
306,2015-07-04,MALTIPOO,6,M,TRUE,Brooklyn,11212
307,2015-06-29,BORDER COLLIE/POINTER X,6,M,TRUE,Brooklyn,11231
308,2015-07-08,ENG SETTER,6,M,FALSE,Brooklyn,11235
309,2015-07-07,MIXED,NA,U,FALSE,Brooklyn,11216
310,2015-07-05,Wire Fox Terrier,8,M,TRUE,Brooklyn,11205
311,2015-07-12,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Brooklyn,11216
312,2015-07-14,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,11221
313,2015-07-13,Chihuahua,NA,U,FALSE,Brooklyn,11207
314,2015-07-06,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11236
315,2015-07-06,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11236
316,2015-07-04,Jack Russ,1,M,TRUE,Brooklyn,11204
317,2015-07-12,NA,NA,U,FALSE,Brooklyn,11221
318,2015-07-10,Golden Retriever,5,M,TRUE,Brooklyn,11238
319,2015-07-10,German Shepherd Crossbreed,6,M,FALSE,Brooklyn,11231
320,2015-07-06,Yorkshire Terrier,6,F,FALSE,Brooklyn,11208
321,2015-07-01,German Shepherd,6,M,FALSE,Brooklyn,11220
322,2015-07-12,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11235
323,2015-07-12,JACK RUSSELL X,10M,M,FALSE,Brooklyn,11236
324,2015-07-13,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11209
325,2015-07-09,NA,NA,U,FALSE,Brooklyn,11209
326,2015-07-08,POODLE/CHIHUAHUA X,2,M,FALSE,Brooklyn,11206
327,2015-07-15,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11207
328,2015-07-16,Pit Bull,2,F,FALSE,Brooklyn,11205
329,2015-07-17,Basset Hound,3,M,TRUE,Brooklyn,11220
330,2015-07-16,NA,NA,U,FALSE,Brooklyn,11229
331,2015-07-16,NA,NA,U,FALSE,Brooklyn,11207
332,2015-07-16,Shiba Inu,1,M,TRUE,Brooklyn,11235
333,2015-07-21,Shih Tzu,NA,U,FALSE,Brooklyn,11233
334,2015-07-20,NA,NA,U,FALSE,Brooklyn,11209
335,2015-07-21,Cocker Spaniel,13,M,TRUE,Brooklyn,11230
336,2015-07-22,Pit Bull,11M,F,FALSE,Brooklyn,11206
337,2015-07-19,Pit Bull,4,M,TRUE,Brooklyn,11222
338,2015-07-19,Bull Terrier,2,M,FALSE,Brooklyn,11207
339,2015-07-18,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11213
340,2015-07-22,LABRADOR/PIT BULL X,NA,U,FALSE,Brooklyn,11238
341,2015-07-15,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11203
342,2015-07-22,Belgian Malinois,1,M,FALSE,Brooklyn,11213
343,2015-07-22,PIT BULL/BOXER X,2,M,TRUE,Brooklyn,11237
344,2015-07-22,PIT BULL/BULL DOG,2,M,TRUE,Brooklyn,11237
345,2015-07-20,NA,NA,U,FALSE,Brooklyn,11236
346,2015-07-20,NA,NA,U,FALSE,Brooklyn,11204
347,2015-07-20,NA,NA,U,FALSE,Brooklyn,11234
348,2015-07-22,Yorkshire Terrier,6,M,TRUE,Brooklyn,11231
349,2015-07-25,Maltese,1,M,FALSE,Brooklyn,11218
350,2015-07-24,NA,NA,U,FALSE,Brooklyn,11204
351,2015-07-25,Shiba Inu,1,M,TRUE,Brooklyn,11237
352,2015-07-26,NA,NA,U,FALSE,Brooklyn,11222
353,2015-07-28,RED-NOSE PIT BULL,9,M,TRUE,Brooklyn,11206
354,2015-07-29,Doberman Pinscher,9,F,FALSE,Brooklyn,11220
355,2015-07-29,MUTT,2,M,TRUE,Brooklyn,11203
